idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_dev(bootstrap)
0,0.125000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
1,0.250000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
2,0.375000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
3,0.500000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
4,0.625000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
5,0.750000,0.999969,0.001769,24.999222,624.962667,390581.917333,-49.996889,2499.713778,0.000542
6,0.875000,0.999636,0.015582,24.990889,624.563556,390123.142222,-49.963778,2496.677333,0.001897
7,1.000000,0.999258,0.023899,24.981444,624.113778,389611.295111,-49.928000,2493.402667,0.002073
8,1.125000,0.998413,0.040796,24.960333,623.108000,388464.085333,-49.845556,2485.870222,0.002118
9,1.250000,0.996089,0.080902,24.902222,620.352889,385350.496889,-49.625556,2465.856000,0.002950
10,1.375000,0.992133,0.135202,24.803333,615.724000,380227.045333,-49.268000,2433.726222,0.004431
11,1.500000,0.986342,0.201943,24.658556,609.058667,373043.378667,-48.767556,2389.633778,0.005426
12,1.625000,0.978022,0.273496,24.450556,599.610222,363028.232889,-48.060444,2327.861333,0.007528
13,1.750000,0.962809,0.402147,24.070222,583.702667,347512.954667,-46.958667,2235.905778,0.013048
14,1.875000,0.945613,0.502966,23.640333,565.605333,330006.712000,-45.695556,2132.289778,0.013846
15,2.000000,0.913076,0.686231,22.826889,534.184000,302557.138667,-43.664000,1975.168000,0.017822
16,2.125000,0.874871,0.805555,21.871778,497.727556,271365.779556,-41.276444,1794.684444,0.013996
17,2.250000,0.831276,0.900445,20.781889,459.780000,241839.957333,-38.858444,1623.941333,0.012258
18,2.375000,0.778378,0.940467,19.459444,414.994222,208379.000889,-36.040444,1431.534222,0.011786
19,2.500000,0.719729,0.925708,17.993222,367.024000,174315.533333,-33.029333,1235.578667,0.008933
20,2.625000,0.664560,0.865757,16.614000,323.521333,145311.034667,-30.263778,1065.036444,0.005693
21,2.750000,0.612858,0.769383,15.321444,284.345778,120101.401778,-27.747111,915.363556,0.005288
22,2.875000,0.561600,0.678647,14.040000,247.049778,97524.239111,-25.250222,777.809778,0.005555
23,3.000000,0.520280,0.597773,13.007000,218.975556,82020.648889,-23.391333,681.653333,0.005539
24,3.125000,0.486724,0.513631,12.168111,195.810667,69163.058667,-21.813778,601.239111,0.005766
25,3.250000,0.448111,0.439624,11.202778,171.221333,56596.397333,-20.128889,521.260444,0.004849
26,3.375000,0.432333,0.390517,10.808333,160.362222,50919.038222,-19.158000,478.234667,0.003924
27,3.500000,0.399236,0.330064,9.980889,139.708000,40869.594667,-17.639111,412.220444,0.004581
28,3.625000,0.382782,0.294342,9.569556,130.247556,36608.739556,-16.733333,376.700444,0.003620
29,3.750000,0.367231,0.262369,9.180778,121.035111,32626.652444,-16.088889,351.091556,0.003169
30,3.875000,0.345884,0.226230,8.647111,108.964000,27585.877333,-15.148444,314.400000,0.002630
31,4.000000,0.336493,0.196522,8.412333,102.918222,24513.430222,-14.504222,288.981333,0.002348
32,4.125000,0.329458,0.182648,8.236444,98.878667,22778.912000,-13.919111,271.438222,0.001859
33,4.250000,0.317653,0.166549,7.941333,93.080889,20886.907556,-13.384889,254.362667,0.001665
34,4.375000,0.308911,0.152961,7.722778,87.768000,18644.530667,-12.830889,237.825778,0.001610
35,4.500000,0.296840,0.143584,7.421000,82.591556,17375.528889,-12.286667,223.651556,0.001488
36,4.625000,0.292889,0.129372,7.322222,79.942667,15981.381333,-12.016000,213.568000,0.001222
37,4.750000,0.287596,0.121355,7.189889,77.288444,15096.876444,-11.554000,201.946667,0.001259
38,4.875000,0.278898,0.110423,6.972444,72.799556,13592.083556,-11.126667,189.409778,0.001098
39,5.000000,0.276169,0.102399,6.904222,70.917778,12669.841778,-10.926444,183.386667,0.001008
